Product Category,Total Amount,stock,Date
SKU030,14,89,30-01-2025
SKU053,3,70,09-01-2025
SKU071,4,86,26-02-2025
SKU099,4,64,12-03-2025
SKU061,2,89,13-03-2025
SKU030,4,64,05-02-2025
SKU068,5,41,02-02-2025
SKU014,6,84,11-01-2025
SKU061,7,77,27-03-2025
SKU020,8,93,25-01-2025
SKU036,4,36,06-01-2025
SKU009,5,51,09-02-2025
SKU097,3,99,03-03-2025
SKU023,6,80,10-03-2025
SKU038,2,64,25-03-2025
SKU060,6,25,20-03-2025
SKU069,1,21,11-01-2025
SKU077,3,22,20-03-2025
SKU049,7,73,27-03-2025
SKU036,5,59,03-03-2025
SKU006,2,25,12-02-2025
SKU074,9,38,08-02-2025
SKU084,1,82,29-03-2025
SKU002,4,37,16-01-2025
SKU004,6,36,15-03-2025
SKU066,4,69,05-01-2025
SKU067,5,23,30-03-2025
SKU045,10,79,15-02-2025
SKU021,4,45,31-03-2025
SKU064,4,74,18-02-2025
SKU038,6,52,17-01-2025
SKU059,9,85,07-03-2025
SKU095,7,27,04-01-2025
SKU028,2,21,30-03-2025
SKU078,4,61,12-01-2025
SKU067,6,63,16-02-2025
SKU016,6,25,15-01-2025
SKU056,2,82,21-01-2025
SKU035,5,47,05-03-2025
SKU028,2,44,14-02-2025
SKU030,7,90,25-02-2025
SKU001,4,78,16-01-2025
SKU079,5,41,28-01-2025
SKU079,4,93,25-01-2025
SKU010,5,86,26-02-2025
SKU016,8,48,04-01-2025
SKU099,6,51,23-03-2025
SKU070,5,61,20-02-2025
SKU091,3,28,26-02-2025
SKU013,8,80,14-02-2025
SKU043,10,65,21-03-2025
SKU033,3,58,05-01-2025
SKU019,7,33,05-03-2025
SKU033,3,89,16-02-2025
SKU072,7,59,11-01-2025
SKU089,6,95,09-03-2025
SKU048,4,52,14-02-2025
SKU071,4,92,31-01-2025
SKU017,2,61,25-03-2025
SKU045,6,83,15-01-2025
SKU070,3,28,30-01-2025
SKU094,4,28,08-02-2025
SKU092,7,20,11-02-2025
SKU075,6,86,24-03-2025
SKU052,8,76,30-03-2025
SKU046,2,78,08-02-2025
SKU098,5,37,31-03-2025
SKU002,7,26,01-02-2025
SKU035,8,44,31-03-2025
SKU064,4,24,15-03-2025
SKU039,3,67,02-03-2025
SKU027,4,84,03-01-2025
SKU056,7,79,16-01-2025
SKU099,2,56,11-01-2025
SKU078,5,58,22-02-2025
SKU038,6,40,18-01-2025
SKU004,1,57,10-01-2025
SKU032,9,48,15-01-2025
SKU013,7,72,06-01-2025
SKU001,5,20,20-02-2025
SKU037,3,92,08-02-2025
SKU087,2,29,16-02-2025
SKU079,4,75,20-02-2025
SKU021,6,65,13-03-2025
SKU078,6,21,08-02-2025
SKU072,3,61,18-01-2025
SKU080,2,83,20-02-2025
SKU024,4,63,16-01-2025
SKU070,5,46,02-02-2025
SKU031,6,88,13-01-2025
SKU029,6,55,18-01-2025
SKU073,7,30,15-03-2025
SKU096,5,45,10-03-2025
SKU027,5,77,13-03-2025
SKU018,1,96,29-01-2025
SKU077,2,67,11-01-2025
SKU003,3,99,17-03-2025
SKU094,1,80,20-03-2025
SKU020,7,96,22-01-2025
SKU098,2,60,07-03-2025
SKU039,4,75,07-02-2025
SKU070,6,87,05-02-2025
SKU046,8,94,02-03-2025
SKU044,7,47,03-02-2025
SKU043,5,70,26-03-2025
SKU060,6,25,05-01-2025
SKU065,5,22,26-02-2025
SKU062,5,48,08-03-2025
SKU027,2,34,20-03-2025
SKU099,8,63,06-03-2025
SKU005,9,29,11-01-2025
SKU032,3,63,09-02-2025
SKU085,3,66,28-01-2025
SKU006,6,37,21-02-2025
SKU060,1,44,17-02-2025
SKU100,7,48,31-03-2025
SKU051,1,24,03-03-2025
SKU064,7,27,28-03-2025
SKU081,6,94,29-01-2025
SKU097,3,95,23-03-2025
