sku_id,sales,stock,date
SKU030,14,89,2025-01-30
SKU053,3,70,2025-01-09
SKU071,4,86,2025-02-26
SKU099,4,64,2025-03-12
SKU061,2,89,2025-03-13
SKU030,4,64,2025-02-05
SKU068,5,41,2025-02-02
SKU014,6,84,2025-01-11
SKU061,7,77,2025-03-27
SKU020,8,93,2025-01-25
SKU036,4,36,2025-01-06
SKU009,5,51,2025-02-09
SKU097,3,99,2025-03-03
SKU023,6,80,2025-03-10
SKU038,2,64,2025-03-25
SKU060,6,25,2025-03-20
SKU069,1,21,2025-01-11
SKU077,3,22,2025-03-20
SKU049,7,73,2025-03-27
SKU036,5,59,2025-03-03
SKU006,2,25,2025-02-12
SKU074,9,38,2025-02-08
SKU084,1,82,2025-03-29
SKU002,4,37,2025-01-16
SKU004,6,36,2025-03-15
SKU066,4,69,2025-01-05
SKU067,5,23,2025-03-30
SKU045,10,79,2025-02-15
SKU021,4,45,2025-03-31
SKU064,4,74,2025-02-18
SKU038,6,52,2025-01-17
SKU059,9,85,2025-03-07
SKU095,7,27,2025-01-04
SKU028,2,21,2025-03-30
SKU078,4,61,2025-01-12
SKU067,6,63,2025-02-16
SKU016,6,25,2025-01-15
SKU056,2,82,2025-01-21
SKU035,5,47,2025-03-05
SKU028,2,44,2025-02-14
SKU030,7,90,2025-02-25
SKU001,4,78,2025-01-16
SKU079,5,41,2025-01-28
SKU079,4,93,2025-01-25
SKU010,5,86,2025-02-26
SKU016,8,48,2025-01-04
SKU099,6,51,2025-03-23
SKU070,5,61,2025-02-20
SKU091,3,28,2025-02-26
SKU013,8,80,2025-02-14
SKU043,10,65,2025-03-21
SKU033,3,58,2025-01-05
SKU019,7,33,2025-03-05
SKU033,3,89,2025-02-16
SKU072,7,59,2025-01-11
SKU089,6,95,2025-03-09
SKU048,4,52,2025-02-14
SKU071,4,92,2025-01-31
SKU017,2,61,2025-03-25
SKU045,6,83,2025-01-15
SKU070,3,28,2025-01-30
SKU094,4,28,2025-02-08
SKU092,7,20,2025-02-11
SKU075,6,86,2025-03-24
SKU052,8,76,2025-03-30
SKU046,2,78,2025-02-08
SKU098,5,37,2025-03-31
SKU002,7,26,2025-02-01
SKU035,8,44,2025-03-31
SKU064,4,24,2025-03-15
SKU039,3,67,2025-03-02
SKU027,4,84,2025-01-03
SKU056,7,79,2025-01-16
SKU099,2,56,2025-01-11
SKU078,5,58,2025-02-22
SKU038,6,40,2025-01-18
SKU004,1,57,2025-01-10
SKU032,9,48,2025-01-15
SKU013,7,72,2025-01-06
SKU001,5,20,2025-02-20
SKU037,3,92,2025-02-08
SKU087,2,29,2025-02-16
SKU079,4,75,2025-02-20
SKU021,6,65,2025-03-13
SKU078,6,21,2025-02-08
SKU072,3,61,2025-01-18
SKU080,2,83,2025-02-20
SKU024,4,63,2025-01-16
SKU070,5,46,2025-02-02
SKU031,6,88,2025-01-13
SKU029,6,55,2025-01-18
SKU073,7,30,2025-03-15
SKU096,5,45,2025-03-10
SKU027,5,77,2025-03-13
SKU018,1,96,2025-01-29
SKU077,2,67,2025-01-11
SKU003,3,99,2025-03-17
SKU094,1,80,2025-03-20
SKU020,7,96,2025-01-22
SKU098,2,60,2025-03-07
SKU039,4,75,2025-02-07
SKU070,6,87,2025-02-05
SKU046,8,94,2025-03-02
SKU044,7,47,2025-02-03
SKU043,5,70,2025-03-26
SKU060,6,25,2025-01-05
SKU065,5,22,2025-02-26
SKU062,5,48,2025-03-08
SKU027,2,34,2025-03-20
SKU099,8,63,2025-03-06
SKU005,9,29,2025-01-11
SKU032,3,63,2025-02-09
SKU085,3,66,2025-01-28
SKU006,6,37,2025-02-21
SKU060,1,44,2025-02-17
SKU100,7,48,2025-03-31
SKU051,1,24,2025-03-03
SKU064,7,27,2025-03-28
SKU081,6,94,2025-01-29
SKU097,3,95,2025-03-23
SKU097,1,97,2025-01-23
SKU013,5,88,2025-03-21
SKU060,3,98,2025-01-23
SKU041,3,41,2025-03-23
SKU093,4,89,2025-01-11
SKU061,2,90,2025-02-01
SKU044,1,74,2025-01-11
SKU038,9,40,2025-02-22
SKU030,4,40,2025-02-18
SKU038,2,41,2025-03-31
SKU085,2,91,2025-02-20
SKU003,6,95,2025-03-06
SKU093,4,68,2025-01-01
SKU044,1,37,2025-02-01
SKU058,4,21,2025-01-14
SKU070,5,84,2025-03-19
SKU003,5,49,2025-03-15
SKU080,4,76,2025-01-25
SKU074,6,35,2025-01-04
SKU041,4,59,2025-03-29
SKU088,8,54,2025-01-02
SKU007,3,60,2025-02-09
SKU043,7,44,2025-01-29
SKU038,2,66,2025-01-04
SKU039,5,88,2025-03-22
SKU005,7,53,2025-03-03
SKU063,5,39,2025-02-12
SKU078,6,53,2025-03-22
SKU007,5,40,2025-01-18
SKU040,5,86,2025-01-27
SKU075,7,40,2025-03-06
SKU071,7,61,2025-01-28
SKU064,8,76,2025-03-27
SKU038,7,44,2025-02-06
SKU028,5,85,2025-01-08
SKU027,2,71,2025-03-21
SKU011,4,83,2025-03-21
SKU072,8,83,2025-02-25
SKU098,3,22,2025-01-05
SKU092,2,44,2025-02-27
SKU009,5,53,2025-02-26
SKU076,5,38,2025-01-07
SKU028,5,89,2025-03-10
SKU017,6,94,2025-02-12
SKU070,4,45,2025-02-18
SKU003,10,44,2025-03-05
SKU054,4,87,2025-01-29
SKU080,6,86,2025-01-22
SKU062,8,83,2025-03-06
SKU021,3,52,2025-02-27
SKU066,6,83,2025-02-05
SKU002,2,66,2025-03-24
SKU072,4,46,2025-03-12
SKU021,3,26,2025-01-06
SKU057,9,21,2025-03-18
SKU093,5,50,2025-02-26
SKU081,2,59,2025-03-28
SKU011,6,86,2025-02-20
SKU069,4,60,2025-01-04
SKU026,3,97,2025-03-31
SKU031,3,84,2025-03-02
SKU052,6,69,2025-03-09
SKU079,9,44,2025-03-25
SKU020,3,86,2025-02-28
SKU091,3,61,2025-02-11
SKU034,4,85,2025-02-04
SKU097,7,96,2025-03-09
SKU089,5,68,2025-02-26
SKU050,4,29,2025-03-17
SKU018,5,64,2025-03-16
SKU003,4,96,2025-02-20
SKU079,1,93,2025-03-02
SKU049,3,52,2025-03-04
SKU061,7,98,2025-03-08
SKU087,2,93,2025-03-03
SKU010,9,22,2025-03-21
SKU023,6,30,2025-01-26
SKU072,1,36,2025-03-28
SKU003,8,58,2025-01-03
SKU051,7,89,2025-03-07
SKU079,6,93,2025-01-22
SKU099,4,47,2025-01-18
SKU099,4,52,2025-03-15
SKU012,7,20,2025-02-03
SKU007,8,52,2025-01-30
SKU069,5,82,2025-03-05
SKU036,6,62,2025-02-17
SKU054,9,40,2025-03-25
SKU056,4,62,2025-02-07
SKU096,4,50,2025-02-26
SKU011,3,28,2025-02-18
SKU036,2,34,2025-02-02
SKU009,3,67,2025-01-20
SKU038,9,43,2025-02-02
SKU045,12,72,2025-03-04
SKU045,7,85,2025-02-24
SKU034,3,33,2025-01-31
SKU035,10,52,2025-03-23
SKU006,6,85,2025-01-06
SKU016,6,63,2025-03-27
SKU027,4,76,2025-02-28
SKU011,4,98,2025-03-10
SKU024,7,43,2025-02-02
SKU077,8,74,2025-03-28
SKU024,4,47,2025-01-22
SKU049,2,84,2025-03-29
SKU024,9,62,2025-03-25
SKU068,4,50,2025-03-18
SKU095,2,75,2025-02-16
SKU040,8,94,2025-02-01
SKU023,5,65,2025-02-06
SKU075,8,34,2025-02-28
SKU094,5,57,2025-02-15
SKU085,0,26,2025-03-20
SKU074,5,56,2025-02-10
SKU041,9,40,2025-02-06
SKU029,7,58,2025-02-08
SKU013,9,45,2025-01-09
SKU061,6,96,2025-01-22
SKU027,13,54,2025-03-09
SKU086,4,79,2025-01-16
SKU020,2,30,2025-02-14
SKU025,5,37,2025-01-23
SKU032,4,28,2025-02-07
SKU058,4,67,2025-01-06
SKU031,6,92,2025-02-06
SKU078,5,49,2025-03-19
SKU056,3,92,2025-01-04
SKU093,1,20,2025-01-31
SKU037,6,75,2025-02-09
SKU081,9,83,2025-03-14
SKU011,6,87,2025-02-15
SKU095,3,23,2025-03-01
SKU076,2,37,2025-01-22
SKU052,5,65,2025-02-03
SKU032,7,94,2025-01-08
SKU036,7,79,2025-03-13
SKU020,2,93,2025-01-14
SKU097,6,33,2025-03-10
SKU073,3,76,2025-01-19
SKU082,5,73,2025-03-13
SKU039,4,91,2025-03-20
SKU023,7,92,2025-03-17
SKU008,6,56,2025-03-03
SKU076,6,59,2025-01-01
SKU095,4,70,2025-03-10
SKU067,4,92,2025-02-24
SKU003,3,97,2025-03-07
SKU043,8,85,2025-02-03
SKU009,6,92,2025-03-07
SKU079,5,25,2025-02-18
SKU084,5,61,2025-01-18
SKU012,4,42,2025-03-18
SKU026,3,36,2025-01-03
SKU069,5,40,2025-01-16
SKU064,5,25,2025-01-19
SKU025,6,35,2025-01-07
SKU084,4,96,2025-03-18
SKU040,9,56,2025-02-03
SKU062,6,55,2025-03-13
SKU035,5,88,2025-03-04
SKU053,6,97,2025-01-12
SKU085,2,60,2025-02-23
SKU087,4,24,2025-01-04
SKU061,6,66,2025-03-19
SKU033,1,22,2025-02-09
SKU058,8,64,2025-03-03
SKU032,4,26,2025-01-26
SKU077,8,91,2025-01-27
SKU031,5,26,2025-02-15
SKU017,2,66,2025-03-22
SKU005,13,52,2025-03-10
SKU080,4,74,2025-02-22
SKU085,7,92,2025-03-04
SKU035,2,83,2025-02-06
SKU008,5,34,2025-03-08
SKU080,8,87,2025-02-18
SKU077,2,99,2025-02-20
SKU062,6,24,2025-01-16
SKU094,5,38,2025-01-08
SKU088,8,58,2025-01-25
SKU086,6,28,2025-02-06
SKU068,6,85,2025-01-17
SKU022,5,39,2025-02-28
SKU047,2,51,2025-03-29
SKU008,4,74,2025-03-25
SKU072,4,73,2025-03-18
SKU070,9,92,2025-02-09
SKU068,5,58,2025-01-06
SKU045,3,71,2025-02-12
SKU058,3,46,2025-03-27
SKU064,3,75,2025-03-08
SKU057,5,41,2025-01-30
SKU078,9,32,2025-01-13
SKU092,5,35,2025-01-02
SKU078,4,93,2025-03-20
SKU079,8,57,2025-03-01
SKU052,3,77,2025-01-02
SKU049,5,35,2025-03-07
SKU016,3,26,2025-03-23
SKU054,1,26,2025-01-20
SKU072,3,22,2025-02-01
SKU039,2,45,2025-02-21
SKU080,7,90,2025-03-26
SKU083,4,78,2025-03-27
SKU046,7,73,2025-03-08
SKU086,7,82,2025-02-10
SKU075,7,79,2025-02-06
SKU079,4,56,2025-01-11
SKU091,7,78,2025-03-09
SKU024,7,70,2025-02-15
SKU085,4,48,2025-03-14
SKU088,4,29,2025-03-18
SKU091,5,36,2025-02-13
SKU091,6,70,2025-01-06
SKU010,4,62,2025-01-06
SKU088,5,81,2025-01-12
SKU011,3,43,2025-03-03
SKU069,6,34,2025-02-24
SKU055,3,44,2025-02-05
SKU033,4,57,2025-01-23
SKU085,2,60,2025-03-23
SKU067,4,75,2025-01-07
SKU008,4,92,2025-02-06
SKU084,5,87,2025-01-12
SKU061,4,91,2025-03-18
SKU095,4,76,2025-02-21
SKU017,9,34,2025-03-08
SKU071,9,92,2025-01-24
SKU005,7,52,2025-01-08
SKU094,3,39,2025-01-18
SKU042,9,42,2025-03-13
SKU008,8,99,2025-03-19
SKU051,7,71,2025-01-23
SKU019,1,28,2025-02-03
SKU090,4,39,2025-03-14
SKU017,4,47,2025-02-09
SKU082,9,53,2025-01-27
SKU019,6,69,2025-03-07
SKU069,2,26,2025-01-08
SKU030,3,25,2025-02-13
SKU075,3,37,2025-03-19
SKU074,2,53,2025-02-24
SKU005,7,55,2025-03-28
SKU049,4,46,2025-03-09
SKU032,3,92,2025-03-06
SKU055,5,81,2025-01-18
SKU057,2,54,2025-01-28
SKU091,9,56,2025-02-22
SKU046,4,78,2025-01-23
SKU022,10,96,2025-03-13
SKU074,1,93,2025-02-12
SKU055,5,98,2025-01-01
SKU055,4,50,2025-01-12
SKU063,3,53,2025-01-12
SKU030,4,76,2025-03-14
SKU085,7,32,2025-02-10
SKU083,3,77,2025-03-25
SKU029,3,61,2025-02-26
SKU037,0,44,2025-01-21
SKU047,5,70,2025-03-20
SKU078,6,79,2025-01-11
SKU020,6,77,2025-01-04
SKU088,9,37,2025-02-18
SKU069,6,65,2025-01-01
SKU019,5,63,2025-03-24
SKU040,6,34,2025-01-30
SKU056,5,21,2025-01-30
SKU006,8,59,2025-01-25
SKU020,3,53,2025-01-19
SKU068,6,44,2025-03-21
SKU092,2,78,2025-02-28
SKU057,3,82,2025-02-14
SKU071,6,24,2025-02-18
SKU089,7,30,2025-01-09
SKU020,4,83,2025-03-19
SKU074,4,28,2025-01-29
SKU030,5,69,2025-01-24
SKU024,2,69,2025-03-09
SKU005,7,41,2025-03-18
SKU081,12,83,2025-02-10
SKU009,11,90,2025-03-23
SKU083,3,78,2025-01-21
SKU068,3,32,2025-01-31
SKU013,5,51,2025-03-02
SKU016,5,55,2025-01-18
SKU069,4,90,2025-01-27
SKU030,4,61,2025-02-19
SKU021,8,46,2025-01-22
SKU094,5,63,2025-01-13
SKU008,7,64,2025-02-17
SKU099,3,22,2025-02-18
SKU077,4,23,2025-03-24
SKU012,4,89,2025-03-16
SKU072,6,65,2025-01-30
SKU049,5,53,2025-02-08
SKU011,9,68,2025-01-14
SKU055,5,81,2025-02-18
SKU095,3,73,2025-01-11
SKU033,0,29,2025-03-13
SKU030,3,98,2025-01-03
SKU021,6,78,2025-01-08
SKU076,6,33,2025-03-15
SKU004,6,47,2025-02-28
SKU023,5,61,2025-01-13
SKU013,6,36,2025-01-04
SKU086,3,91,2025-03-05
SKU100,8,64,2025-01-23
SKU049,5,51,2025-02-17
SKU012,6,91,2025-01-14
SKU067,3,47,2025-01-14
SKU070,4,75,2025-02-27
SKU066,5,31,2025-01-21
SKU052,7,48,2025-02-09
SKU018,6,97,2025-03-15
SKU023,5,63,2025-03-03
SKU009,7,67,2025-02-21
SKU037,3,41,2025-03-28
SKU032,5,78,2025-02-26
SKU056,2,67,2025-01-02
SKU097,4,97,2025-03-12
SKU023,9,97,2025-03-31
SKU029,7,22,2025-03-30
SKU072,7,58,2025-02-07
SKU019,9,52,2025-01-17
SKU096,3,25,2025-01-21
SKU025,3,84,2025-01-27
SKU077,4,60,2025-02-03
SKU079,8,64,2025-02-03
SKU059,6,95,2025-03-20
SKU042,5,30,2025-02-13
SKU098,6,59,2025-02-10
SKU012,2,49,2025-01-16
SKU048,5,66,2025-03-22
SKU048,5,77,2025-02-08
SKU001,6,46,2025-01-10
SKU011,5,55,2025-03-29
SKU008,6,77,2025-02-04
SKU005,4,69,2025-01-15
SKU064,6,85,2025-02-12
SKU051,6,58,2025-03-13
SKU004,7,44,2025-02-18
SKU056,5,41,2025-02-01
SKU050,3,94,2025-02-09
SKU004,4,21,2025-01-27
SKU075,6,30,2025-01-01
SKU057,6,85,2025-01-26
SKU027,7,57,2025-02-04
SKU062,3,60,2025-02-06
SKU039,5,61,2025-01-01
SKU043,5,40,2025-02-28
SKU099,4,52,2025-02-27
SKU049,4,77,2025-03-24
SKU096,5,71,2025-03-01
SKU065,6,48,2025-02-06
SKU087,5,28,2025-03-10
SKU071,6,23,2025-01-15
SKU091,4,48,2025-03-11
SKU077,4,52,2025-01-29
SKU038,5,78,2025-02-10
SKU064,1,32,2025-01-10
SKU026,6,42,2025-02-23
SKU031,5,93,2025-03-05
SKU027,4,42,2025-03-02
SKU057,3,75,2025-01-22
SKU059,4,28,2025-03-11
SKU046,4,54,2025-01-25
SKU051,11,71,2025-01-01
SKU072,3,31,2025-03-20
SKU013,3,59,2025-01-08
SKU082,2,39,2025-01-11
SKU002,5,95,2025-01-19
SKU024,5,42,2025-03-03
SKU039,2,81,2025-03-08
SKU062,2,69,2025-01-18
SKU048,1,29,2025-03-05
SKU062,2,22,2025-02-27
SKU020,4,63,2025-02-15
SKU006,5,26,2025-03-01
SKU057,8,42,2025-01-16
SKU020,2,69,2025-02-08
SKU018,1,32,2025-01-13
SKU036,6,57,2025-02-26
SKU003,8,28,2025-02-28
SKU086,8,71,2025-02-07
SKU051,6,23,2025-03-14
SKU013,4,38,2025-03-18
SKU003,5,81,2025-01-01
SKU029,9,89,2025-02-12
SKU069,6,90,2025-03-28
SKU084,2,98,2025-02-08
